Index,LF
0,1.5888802
1,-0.7875489
2,-0.7875489
3,-1.6797423
4,-1.550097
5,-1.7484224
6,-0.81230325
7,-1.5581653
8,-1.5391275
9,-2.2267303
10,-1.9717818
11,-1.9717818
12,-2.0654259
13,-2.3992062
14,-2.3200886
15,-2.6093037
16,-1.4961082
17,-1.9825934
18,-1.2021427
19,-1.0767401
20,-0.3292313
21,-1.3655096
22,0.3258823
23,-1.4961082
24,-0.6932156
25,-0.3821892
26,-0.75146604
27,2.304827
28,1.4924904
29,-0.6206802
30,-0.07051243
31,0.68536466
32,2.4995503
33,2.3705778
34,0.8151563
35,1.100006
36,1.230203
37,-0.56410223
38,1.858466
39,1.3321832
40,0.9072185
41,-0.6796161
42,0.5187832
43,0.70292336
44,0.96971554
45,0.27034536
46,-0.12669021
47,1.5667597
48,1.6552166
49,1.8032004
50,0.98942786
51,0.17551468
52,0.51423544
53,0.4428075
54,2.1321106
55,2.6361465
56,1.0154969
57,1.4383479
58,2.0981915
59,2.2218363
60,0.8258894
61,0.8258894
62,-0.1383596
63,0.9697524
64,3.2310104
65,0.48884907
66,1.3356401
67,1.8276567
68,1.6457494
69,1.7666206
70,0.8554743
71,1.0491197
72,-0.04839323
73,2.3631177
74,1.5180503
75,1.5686495
76,-0.13128546
77,1.1187629
78,0.9022367
79,1.1880841
80,0.7840528
81,-0.10756005
82,-0.3263305
83,0.1920696
84,-0.09486456
85,1.3228525
86,0.8470838
87,0.8025181
88,1.0037811
89,1.1779442
90,0.49513224
91,-0.73950666
92,0.79005724
93,0.5394091
94,0.46058568
95,0.87237805
96,1.4927799
97,1.1836976
98,2.0833046
99,-2.065018
100,-0.6890291
101,-1.3514726
102,-0.59373015
103,0.424485
104,-1.6349509
105,-1.6349509
106,0.9028101
107,-0.25004706
108,-0.745113
109,-0.22312833
110,-0.8446677
111,-1.2875458
112,-1.0461296
113,-1.0461296
114,0.596786
115,0.39127305
116,0.3091261
117,1.0087229
118,1.6302972
119,1.5277547
120,2.7417328
121,3.0472674
122,2.9868731
123,0.5374551
124,1.292221
125,2.4534447
126,0.1629048
127,1.0419824
128,0.7166246
129,1.6901197
130,1.5804434
131,1.1845098
132,2.1385083
133,1.5985532
134,1.628721
135,0.4017261
136,-1.302922
137,-2.1955695
138,-0.5115165
139,-0.8073426
140,-0.9265237
141,-1.0894998
142,-1.2060218
143,-2.2251384
144,-2.2666411
145,-2.3824139
146,-2.0003517
147,-1.4782708
148,-2.2258859
149,1.263686
150,0.36745298
151,-1.0262144
152,-1.2117957
153,0.8675234
154,0.035160393
155,0.7356451
156,1.3869418
157,1.8270779
158,0.40482956
159,-1.3251143
160,-1.8187671
161,0.74278224
162,-1.0262144
163,-1.120929
164,-1.0488585
165,0.3665353
166,-0.40903994
167,-1.3314705
168,0.51111704
169,0.7272084
170,0.16920514
171,-0.5505356
172,-0.03572091
173,1.4729049
174,-0.4463723
175,0.42374194
176,0.4353464
177,1.0350353
178,0.77798706
179,0.39837041
180,0.48895392
181,0.29776755
182,0.88085395
183,-0.7048777
184,-0.037574384
185,0.3358132
186,0.3358132
187,-0.19302243
188,0.57701993
189,-1.0814021
190,-1.4233472
191,-1.479243
192,1.3677942
193,1.0709543
194,-0.31517372
195,-0.36085057
196,3.8287852
197,2.3637884
198,0.2489679
199,1.6297253
